assignment_id,worker_id,task_id,supervisor_id,skill,priority,status
A1,W1379,T9539,S166,Data Analysis,Critical,On Hold
A2,W1748,T6810,S183,Project Management,Critical,On Hold
A3,W1997,T4090,S123,Java,Critical,Completed
A4,W1526,T4937,S168,Data Analysis,Low,Pending
A5,W1560,T7138,S172,Cybersecurity,Critical,In Progress
A6,W1554,T5467,S120,Python,Low,Completed
A7,W1672,T7443,S121,Python,Critical,Completed
A8,W1641,T1875,S175,DevOps,Low,Completed
A9,W1273,T3477,S150,Python,Medium,On Hold
A10,W1837,T8707,S113,DevOps,Critical,Pending
A11,W1027,T7606,S193,Python,Medium,On Hold
A12,W1900,T804,S121,Project Management,High,On Hold
A13,W1804,T2894,S163,Python,Critical,Completed
A14,W1637,T6865,S193,Java,Critical,Pending
A15,W1268,T1922,S190,Data Analysis,High,Completed
A16,W1862,T4285,S123,DevOps,Critical,In Progress
A17,W1742,T7737,S108,C++,Low,In Progress
A18,W1792,T3344,S117,Cybersecurity,Critical,Pending
A19,W1682,T2720,S114,UI/UX,Low,Pending
A20,W1312,T5862,S100,Data Analysis,High,Pending
A21,W1650,T1771,S121,C++,Critical,Completed
A22,W1764,T7747,S152,Project Management,Low,Pending
A23,W1631,T7822,S132,DevOps,Low,In Progress
A24,W1519,T1637,S131,DevOps,Critical,Pending
A25,W1299,T5435,S171,C++,Low,In Progress
A26,W1300,T2784,S173,UI/UX,High,Pending
A27,W1372,T6457,S149,Cybersecurity,High,Pending
A28,W1097,T2099,S186,C++,Medium,In Progress
A29,W1507,T1764,S183,UI/UX,High,In Progress
A30,W1166,T2025,S148,Project Management,High,Completed
A31,W1231,T291,S117,C++,Low,Completed
A32,W1925,T5255,S136,Data Analysis,Critical,In Progress
A33,W1192,T8943,S183,Project Management,High,Completed
A34,W1001,T3894,S176,Data Analysis,High,On Hold
A35,W1217,T4303,S159,Cybersecurity,High,On Hold
A36,W1102,T2163,S192,Java,Critical,On Hold
A37,W1029,T7143,S121,C++,Critical,In Progress
A38,W1550,T6205,S195,C++,Low,On Hold
A39,W1383,T4860,S178,Data Analysis,Critical,In Progress
A40,W1779,T2679,S193,C++,Critical,On Hold
A41,W1351,T4274,S153,Cybersecurity,Critical,Pending
A42,W1848,T6682,S128,UI/UX,High,In Progress
A43,W1133,T1450,S194,DevOps,High,Completed
A44,W1868,T2805,S134,DevOps,Low,Pending
A45,W1217,T8376,S132,C++,Low,Pending
A46,W1268,T7581,S134,C++,Medium,In Progress
A47,W1072,T7818,S132,UI/UX,Low,On Hold
A48,W1055,T1392,S115,DevOps,Critical,Pending
A49,W1474,T844,S149,Data Analysis,Critical,On Hold
A50,W1810,T3596,S178,C++,Medium,On Hold
A51,W1864,T141,S120,Data Analysis,Critical,Completed
A52,W1500,T4608,S194,Data Analysis,Critical,In Progress
A53,W1279,T6977,S129,Data Analysis,Low,On Hold
A54,W1441,T999,S121,Data Analysis,Low,On Hold
A55,W1455,T2068,S153,Data Analysis,Critical,In Progress
A56,W1071,T6888,S127,Python,Medium,On Hold
A57,W1772,T339,S141,Java,Critical,On Hold
A58,W1418,T9811,S186,C++,Medium,On Hold
A59,W1342,T7966,S158,Cybersecurity,Medium,On Hold
A60,W1056,T5486,S155,Java,Critical,Completed
A61,W1216,T9461,S144,UI/UX,Medium,On Hold
A62,W1249,T4732,S100,C++,Medium,Completed
A63,W1583,T2875,S181,Python,Medium,In Progress
A64,W1313,T2411,S133,DevOps,Low,Pending
A65,W1524,T6877,S158,Cybersecurity,High,Pending
A66,W1877,T995,S184,Data Analysis,Medium,On Hold
A67,W1424,T3698,S136,Cybersecurity,High,Completed
A68,W1444,T4848,S136,DevOps,High,Pending
A69,W1456,T1114,S104,Cybersecurity,Medium,In Progress
A70,W1854,T6948,S103,C++,Critical,On Hold
A71,W1294,T5459,S157,Java,Medium,Completed
A72,W1904,T6334,S190,C++,High,In Progress
A73,W1732,T474,S139,Data Analysis,Critical,On Hold
A74,W1708,T2694,S145,Java,Low,Pending
A75,W1794,T2726,S142,DevOps,Medium,Pending
A76,W1614,T1390,S195,Cybersecurity,High,Completed
A77,W1759,T4053,S199,Project Management,Low,Pending
A78,W1644,T1425,S196,C++,High,Completed
A79,W1084,T4816,S196,Data Analysis,Critical,Completed
A80,W1393,T7040,S112,Cybersecurity,Medium,Pending
A81,W1828,T9668,S176,DevOps,Critical,Completed
A82,W1700,T6209,S135,Python,High,Pending
A83,W1893,T8659,S105,C++,High,Pending
A84,W1507,T4086,S184,Project Management,Critical,On Hold
A85,W1242,T9579,S149,UI/UX,High,In Progress
A86,W1400,T980,S176,Java,Medium,Pending
A87,W1857,T7770,S138,Data Analysis,Medium,Completed
A88,W1936,T8483,S158,UI/UX,Low,Completed
A89,W1227,T308,S186,Data Analysis,High,On Hold
A90,W1609,T2078,S188,Project Management,Medium,Pending
A91,W1443,T5084,S129,Python,High,On Hold
A92,W1018,T4989,S111,Data Analysis,Critical,On Hold
A93,W1279,T7909,S153,UI/UX,Low,Completed
A94,W1219,T3678,S113,Java,Low,In Progress
A95,W1652,T4745,S116,Python,Critical,Completed
A96,W1927,T4857,S128,Cybersecurity,Low,On Hold
A97,W1578,T5167,S109,DevOps,Medium,In Progress
A98,W1815,T7683,S156,Project Management,Critical,Completed
A99,W1998,T2249,S112,DevOps,Medium,In Progress
A100,W1250,T8176,S198,Data Analysis,Low,On Hold
A101,W1149,T335,S150,Python,Low,On Hold
A102,W1913,T9773,S129,Cybersecurity,Low,Pending
A103,W1918,T9120,S113,Java,Low,On Hold
A104,W1028,T8173,S150,UI/UX,Low,Pending
A105,W1629,T499,S177,Python,Critical,In Progress
